date,product,category,region,quantity,unit_price,revenue
2024-09-27,Monitor,Electronics,North,3,349.99,1049.97
2024-10-01,Keyboard,Accessories,East,6,79.99,479.94
2024-10-04,Headset,Accessories,South,4,59.99,
2024-10-08,Webcam,Electronics,West,3,89.99,269.97
2024-10-11,Desk Chair,Furniture,North,1,399.99,399.99
2024-10-15,Standing Desk,Furniture,East,2,549.99,1099.98
2024-10-18,Laptop,Electronics,East,2,999.99,1999.98
2024-10-22,Mouse,Accessories,North,8,29.99,239.92
2024-10-25,Monitor,Electronics,South,1,349.99,349.99
2024-10-29,Keyboard,Accessories,West,3,79.99,239.97
2024-11-02,Headset,Accessories,East,5,59.99,299.95
2024-11-05,Webcam,Electronics,North,2,89.99,179.98
2024-11-09,Desk Chair,Furniture,South,3,399.99,1199.97
2024-11-12,Standing Desk,Furniture,West,1,549.99,549.99
2024-11-16,Laptop,Electronics,West,5,999.99,4999.95
2024-11-19,Mouse,Accessories,South,10,29.99,299.9
2024-11-23,Monitor,Electronics,East,2,349.99,699.98
2024-11-26,Keyboard,Accessories,North,9,79.99,719.91
2024-12-01,Headset,Accessories,West,4,59.99,239.96
2024-12-04,Webcam,Electronics,South,7,89.99,629.93
2024-12-08,Desk Chair,Furniture,East,2,399.99,799.98
2024-12-11,Standing Desk,Furniture,North,1,549.99,549.99
2024-12-15,Laptop,Electronics,North,3,999.99,2999.97
2024-12-18,Mouse,Accessories,East,6,29.99,179.94
2024-12-22,Monitor,Electronics,West,4,349.99,
2024-12-26,Keyboard,Accessories,South,5,79.99,399.95
2024-12-29,Headset,Accessories,North,2,59.99,119.98
2024-12-15,Laptop,Electronics,North,3,999.99,2999.97
2024-12-18,Mouse,Accessories,East,6,29.99,179.94
